CQR Pct in range,CQR Avg length,Runtime,QRF Pct in range,QRF Avg length
89.2,2.070148365215566,20.787708041000087,89.02,2.3603349190352136
91.5,2.0685119937643677,20.777233126000056,90.82000000000001,2.319067870270777
92.84,2.1344380612497016,20.820736332000024,90.92,2.4012634777312227
92.06,2.109594219898452,20.763395270000046,91.12,2.6012474987203014
91.32000000000001,2.073900775332906,22.003444090999892,90.62,2.493941650649399
90.72,2.124613531410031,20.84288242399998,90.64,2.457775013943467
92.75999999999999,2.131648988239059,20.74232473400002,91.36,2.432574406119484
91.42,2.118277245224645,20.775954401000263,90.60000000000001,2.395891133364687
90.53999999999999,2.074721194166381,20.823336445000223,90.56,2.3208541535912444
91.14,2.1125793397744252,20.739453622999918,90.72,2.4334360269264033
91.62,2.1085589599066488,22.118630012000267,90.8,2.3556008423081924
90.74,2.1100171416507467,20.82605412399971,90.52,2.4370184684295912
91.52,2.1181110076039538,20.783486169999833,91.06,2.4188235092507857
91.12,2.1229066118278723,20.764049856999918,90.75999999999999,2.5752133739931944
91.84,2.106408325580541,20.797108859000218,91.03999999999999,2.4089808822093217
91.58,2.081634729777708,21.38121784699979,91.58,2.3783755271937363
91.02,2.075615399516533,21.544204690999777,91.38,2.2702643926545623
90.62,2.0856418720544183,20.7385856599999,89.96,2.5170216289231147
92.16,2.134736258998578,20.746225181000227,90.92,2.40273773153878
91.06,2.0965389413400235,20.786845661999905,90.58,2.9680649879480088
91.62,2.1077199319615336,20.859105198999714,91.47999999999999,2.4057619102117944
91.10000000000001,2.1055717532863585,22.082046810000065,90.68,2.342880097536199
91.78,2.1179164658770513,20.769493178000175,91.12,2.4369545170681146
88.96,2.0616160659142726,20.744995374000155,89.66,2.3507593112180927
92.47999999999999,2.1339259611956236,20.81157967299987,91.24,2.3841983469373327
92.54,2.1293822677196457,20.748379934999775,90.74,2.409480986841117
92.38,2.1196040415886963,20.79524895800023,91.46,2.49220406684886
90.53999999999999,2.0951529894330694,22.011055939000016,89.64,2.3636151939052055
91.94,2.092687418738802,20.76799483900004,91.3,2.2871838506640843
90.74,2.101496085981492,20.720768477000092,90.46,2.3911912646597133
90.12,2.082190889796541,20.78118686500011,90.18,2.3799219776970904
91.96,2.156857553433155,20.714225503000307,91.10000000000001,2.453777886304972
90.98,2.1016900393543683,21.969410617999984,90.88000000000001,2.3394800181930036
91.97999999999999,2.115476296424686,20.6988108139999,90.68,2.3739107774036685
90.58,2.0855141845761156,20.775273233000007,90.52,2.3164596519465563
91.74,2.1165282271452455,20.657699089999824,90.86,2.3489107839582184
91.32000000000001,2.0964062249393907,20.710949360000086,90.08,2.369132558097112
90.94,2.0860785234925476,20.74841295100032,90.44,2.7390056265488076
92.25999999999999,2.116469320413423,21.990898646000005,91.5,2.8770856110299783
91.3,2.1036493942680683,20.689622945999872,89.68,2.3859744721670153
92.24,2.1176974227173697,20.65036076000024,91.02,2.3657574967850583
91.7,2.1300004301441926,20.766862884000147,90.32,2.3313827032044854
91.56,2.118159219352,20.699111794000146,90.72,3.169398551823338
90.3,2.088965654533408,21.884102642000016,90.24,2.274803832612077
91.66,2.105990485672808,20.640486234000036,90.08,2.3886647402479606
90.03999999999999,2.0980243249369246,20.670579321000332,89.92,2.5409302652571126
91.2,2.1124751869315697,20.695041231000232,90.9,2.3706484263968393
89.34,2.053389502785823,20.670372895000128,90.56,2.2855503700621593
91.56,2.084523349236586,20.617577577000247,91.52,2.383220612868077
92.56,2.1478729282287796,22.01405476200034,90.8,2.415790949570594
89.74,2.092385391717498,20.70541514100023,89.86,2.309147042562642
90.38000000000001,2.0799863003489323,20.6839863539999,90.4,2.358624593286352
91.94,2.0874583851877353,20.616159601999698,90.22,2.5436787991536693
91.46,2.112741194676683,20.697155560000283,90.94,2.4111241340597873
93.0,2.1334672452017522,21.926568149000104,91.74,2.4896266264391844
92.72,2.123770653007461,20.772272937999787,91.52,2.3932197923302607
91.64,2.1043548451860894,20.85254284499979,90.48,2.435175154689039
90.92,2.1067892247778603,20.880978630999834,90.25999999999999,2.385793698805802
89.72,2.063192066091595,20.76328564100004,90.46,2.5315242650255043
92.60000000000001,2.1590065206106854,20.821467096000106,91.38,2.5375892676590723
90.34,2.079495825381485,22.044515550999677,89.7,2.633420273399583
92.02,2.090261751204989,20.83676549100028,90.5,2.294829951719493
92.0,2.1189622063155373,20.76698502199997,90.0,2.3075698149755226
